wikidata,label
Q4769203,"Annie's Coming Out (Gil Brealey, 1984)"
Q16851028,"The Camel Boy (Yoram Gross, 1984)"
Q7727561,"The Coolangatta Gold (Igor Auzins, 1984)"
Q16919040,"Dot and the Bunny (Yoram Gross, 1983)"
Q5436993,"Fast Talking (Ken Cameron, 1984)"
Q5510758,"Future Schlock (Barry Peak/Chris Kiely, 1984)"
Q6813921,"Melvin, Son of Alvin (John Eastway, 1984)"
Q12126390,"My First Wife (Paul Cox, 1984)"
Q369435,"One Night Stand (John Duigan, 1984)"
Q3421387,"Razorback (Russell Mulcahy, 1984)"
Q7763409,"The Settlement (Howard Rubie, 1984)"
Q7515902,"Silver City (Sophia Turkiewicz, 1984)"
Q7764834,"The Slim Dusty Movie (Rob Stewart, 1984)"
Q7599409,"Stanley (Esben Storm, 1984)"
Q7622858,"Street Hero (Michael Pattinson, 1984)"
Q7623815,"Strikebound (Richard Lowenstein, 1984)"
Q7883485,"Undercover (David Stevens, 1983)"
Q2265591,"Where the Green Ants Dream (Werner Herzog, 1984)"
Q7774853,"The Wild Duck (Henri Safran, 1983)"
Q4926832,"Bliss (Ray Lawrence, 1985)"
Q4998921,"Burke & Wills (Graeme Clifford, 1985)"
Q2663674,"The Coca-Cola Kid (Dušan Makavejev, 1985)"
Q5373662,"Emoh Ruo (Denny Lawrence, 1985)"
Q7731969,"The Empty Beach (Chris Thomson, 1985)"
Q16947425,"Epic (Yoram Gross, 1984)"
Q8565317,"Fran (Glenda Hambly, 1985)"
Q4750061,"An Indecent Obsession (Lex Marinos, 1985)"
Q426663,"Mad Max Beyond Thunderdome (George Miller/George Ogilvie, 1985)"
Q15039744,"The Naked Country (Tim Burstall, 1985)"
Q7302016,"Rebel (Michael Jenkins, 1985)"
Q7340833,"Robbery Under Arms (Donald Crombie/Ken Hannam, 1985)"
Q7766527,"The Still Point (Barbara Boyd-Anderson, 1986)"
Q4659857,"A Street to Die (Bill Bennett, 1985)"
Q7676075,"Tail of a Tiger (Rolf de Heer, 1984)"
Q1807367,"Warming Up (Bruce Best, 1983)"
Q8022462,"Wills & Burke (Bob Weis, 1985)"
Q7775106,"The Winds of Jarrah (Mark Egerton, 1983)"
Q4839678,"Backlash (Bill Bennett, 1986)"
Q7717673,"The Big Hurt (Barry Peak, 1985)"
Q5016134,"Cactus (Paul Cox, 1986)"
Q5167277,"Cool Change (George T. Miller, 1986)"
Q615254,"Crocodile Dundee (Peter Faiman, 1986)"
Q5245167,"Dead End Drive-In (Brian Trenchard-Smith, 1986)"
Q5247591,"Death of a Soldier (Philippe Mora, 1986)"
Q16918861,"Dot and Keeto (Yoram Gross, 1985)"
Q9210334,"Dot and the Koala (Yoram Gross, 1984)"
Q5299400,"Dot and the Whale (Yoram Gross, 1986)"
Q5429796,"Fair Game (Mario Andreacchio, 1986)"
Q5466776,"For Love Alone (Stephen Wallace, 1986)"
Q5472705,"Fortress (Arch Nicholson, 1986)"
Q7735329,"The Fringe Dwellers (Bruce Beresford, 1986)"
Q5505183,"Frog Dreaming (Brian Trenchard-Smith, 1986)"
Q6179367,"Jenny Kissed Me (Brian Trenchard-Smith, 1986)"
Q1692212,"Malcolm (Nadia Tass, 1986)"
Q7752241,"The More Things Change... (Robyn Nevin, 1986)"
Q7203385,"Playing Beatie Bow (Donald Crombie, 1986)"
Q15039791,"Short Changed (George Ogilvie, 1986)"
Q1157757,"Sky Pirates (Colin Eggleston, 1986)"
Q25183101,Traps (1985)
Q7884332,"Unfinished Business (Bob Ellis, 1985)"
Q4337557,"Windrider (Vince Monton, 1986)"
Q8038631,"Wrong World (Ian Pringle, 1985)"
Q4824097,"Australian Dream (Jackie McKimmie, 1986)"
Q5001502,"Bushfire Moon (George T. Miller, 1987)"
Q5288447,"Dogs in Space (Richard Lowenstein, 1987)"
Q16919808,"Dot and the Smugglers (Yoram Gross, 1987)"
Q5299390,"Dot Goes to Hollywood (Yoram Gross, 1987)"
Q5502707,"Frenchman's Farm (Ron Way, 1986)"
Q15039646,"Going Sane (Michael Robertson, 1987)"
Q5610898,"Ground Zero (Bruce Myles/Michael Pattinson, 1987)"
Q5757276,"High Tide (Gillian Armstrong, 1987)"
Q6362508,"Kangaroo (Tim Burstall, 1987)"
Q1961374,"Les Patterson Saves the World (George T. Miller, 1987)"
Q2682416,"The Lighthorsemen (Simon Wincer, 1987)"
Q7771254,"The Umbrella Woman (Ken Cameron, 1987)"
Q7757326,"The Place at the Coast (George Ogilvie, 1987)"
Q56216461,"The Right-Hand Man (Di Drew, 1987)"
Q7380023,"Running from the Guns (John Dixon, 1987)"
Q7538810,"Slate, Wyn & Me (Don McLennan, 1987)"
Q7796818,"Those Dear Departed (Ted Robinson, 1987)"
Q3528935,"The Time Guardian (Brian Hannant, 1987)"
Q7811041,"To Market To Market (Virginia Rouse, 1987)"
Q7836079,"Travelling North (Carl Schultz, 1987)"
Q7857556,"Twelfth Night (Neil Armfield, 1987)"
Q8028018,With Love to the Person Next to Me (1987)
Q23755549,"With Time to Kill (James Clayden, 1987)"
Q1169123,"The Year My Voice Broke (John Duigan, 1987)"
Q4795652,"Around the World in 80 Ways (Stephen MacLean, 1987)"
Q3422550,"As Time Goes By (Barry Peak, 1988)"
Q4839748,"Backstage (Jonathan Hardy, 1988)"
Q4882853,"Belinda (Pamela Gibbons, 1988)"
Q4949681,"Boulevard of Broken Dreams (Pino Amenta, 1988)"
Q4959559,"Breaking Loose (Rod Hay, 1988)"
Q1140745,"Crocodile Dundee II (John Cornell, 1988)"
